zil-app  | 
zil-app  | 2026-05-05T00:12:05.224Z  INFO 1 --- [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7 (PostgreSQL 16.13)
zil-app  | 2026-05-05T00:12:05.816Z  INFO 1 --- [           main] o.f.core.internal.command.DbValidate     : Successfully validated 3 migrations (execution time 00:00.204s)
zil-app  | 2026-05-05T00:12:06.119Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "hl7": 2
zil-app  | 2026-05-05T00:12:06.133Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Schema "hl7" is up to date. No migration necessary.
zil-app  | 2026-05-05T00:12:07.224Z  INFO 1 --- [           main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
zil-app  | 2026-05-05T00:12:07.712Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.4.Final
zil-app  | 2026-05-05T00:12:11.406Z  INFO 1 --- [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
zil-app  | 2026-05-05T00:12:12.019Z  INFO 1 --- [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
zil-app  | 	Database JDBC URL [jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7]
zil-app  | 	Database driver: PostgreSQL JDBC Driver
zil-app  | 	Database dialect: PostgreSQLDialect
zil-app  | 	Database version: 16.13
zil-app  | 	Default catalog/schema: hl7/hl7
zil-app  | 	Autocommit mode: undefined/unknown
zil-app  | 	Isolation level: READ_COMMITTED [default READ_COMMITTED]
zil-app  | 	JDBC fetch size: none
zil-app  | 	Pool: DataSourceConnectionProvider
zil-app  | 	Minimum pool size: undefined/unknown
zil-app  | 	Maximum pool size: undefined/unknown
zil-app  | 2026-05-05T00:12:17.942Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
zil-app  | 2026-05-05T00:12:18.114Z  INFO 1 --- [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
zil-app  | 2026-05-05T00:12:18.622Z  INFO 1 --- [           main] o.s.d.j.r.query.QueryEnhancerFactories   : Hibernate is in classpath; If applicable, HQL parser will be used.
zil-app  | 2026-05-05T00:12:26.607Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8083 (http) with context path '/'
zil-app  | 2026-05-05T00:12:26.624Z  INFO 1 --- [           main] rental.Application                       : Started Application in 41.41 seconds (process running for 44.926)
zil-app  | 2026-05-05T00:12:27.307Z  INFO 1 --- [nio-8083-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-app  | 2026-05-05T00:12:27.308Z  INFO 1 --- [nio-8083-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-app  | 2026-05-05T00:12:27.310Z  INFO 1 --- [nio-8083-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
zil-app  | 2026-05-05T00:12:31.630Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.ClientController.getClients count=1 sumNanos=759993745 avgNanos=759993745
zil-app  | 2026-05-05T00:12:31.630Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countRents count=1 sumNanos=77232537 avgNanos=77232537
zil-app  | 2026-05-05T00:12:31.630Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.RentController.getRents count=1 sumNanos=276071639 avgNanos=276071639
zil-app  | 2026-05-05T00:12:31.630Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.client.findAll count=1 sumNanos=759708475 avgNanos=759708475
zil-app  | 2026-05-05T00:12:31.631Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.rent.findAll count=1 sumNanos=275760739 avgNanos=275760739
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countClients count=1 sumNanos=20143329 avgNanos=20143329
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countCars count=1 sumNanos=603653144 avgNanos=603653144
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.CarController.getCars count=1 sumNanos=175148570 avgNanos=175148570
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.car.findAll count=1 sumNanos=174881668 avgNanos=174881668
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.StatsController.stats count=1 sumNanos=702117979 avgNanos=702117979
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.ClientController.getClients count=1 sumNanos=759993745 avgNanos=759993745
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=77232537 avgNanos=77232537
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.RentController.getRents count=1 sumNanos=276071639 avgNanos=276071639
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.client.findAll count=1 sumNanos=759708475 avgNanos=759708475
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.rent.findAll count=1 sumNanos=275760739 avgNanos=275760739
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=20143329 avgNanos=20143329
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=603653144 avgNanos=603653144
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.CarController.getCars count=1 sumNanos=175148570 avgNanos=175148570
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.car.findAll count=1 sumNanos=174881668 avgNanos=174881668
zil-app  | 2026-05-05T00:12:31.632Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=702117979 avgNanos=702117979
zil-app  | 2026-05-05T00:12:31.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.ClientController.getClients count=1 sumNanos=759993745 avgNanos=759993745
zil-app  | 2026-05-05T00:12:31.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=77232537 avgNanos=77232537
zil-app  | 2026-05-05T00:12:31.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.RentController.getRents count=1 sumNanos=276071639 avgNanos=276071639
zil-app  | 2026-05-05T00:12:31.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.client.findAll count=1 sumNanos=759708475 avgNanos=759708475
zil-app  | 2026-05-05T00:12:31.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.rent.findAll count=1 sumNanos=275760739 avgNanos=275760739
zil-additional-service  | 
zil-additional-service  |   .   ____          _            __ _ _
zil-additional-service  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
zil-additional-service  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
zil-additional-service  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
zil-additional-service  |   '  |____| .__|_| |_|_| |_\__, | / / / /
zil-additional-service  |  =========|_|==============|___/=/_/_/_/
zil-additional-service  | 
zil-additional-service  |  :: Spring Boot ::                (v4.0.6)
zil-additional-service  | 
zil-additional-service  | 2026-05-05T00:11:48.048Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Starting ZilAdditionalServiceApplication v0.0.1-SNAPSHOT using Java 25.0.3 with PID 1 (/app/app.jar started by root in /app)
zil-additional-service  | 2026-05-05T00:11:48.054Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : No active profile set, falling back to 1 default profile: "default"
zil-additional-service  | 2026-05-05T00:11:55.939Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8084 (http)
zil-additional-service  | 2026-05-05T00:11:56.038Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
zil-additional-service  | 2026-05-05T00:11:56.039Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.21]
zil-additional-service  | 2026-05-05T00:11:56.458Z  INFO 1 --- [zil-additional-service] [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 7890 ms
zil-additional-service  | 2026-05-05T00:12:02.340Z  INFO 1 --- [zil-additional-service] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
zil-additional-service  | 2026-05-05T00:12:02.948Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8084 (http) with context path '/'
zil-additional-service  | 2026-05-05T00:12:02.965Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Started ZilAdditionalServiceApplication in 18.105 seconds (process running for 21.036)
zil-additional-service  | 2026-05-05T00:12:03.052Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-05T00:12:12.959Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-05T00:12:22.959Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-05T00:12:28.577Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-additional-service  | 2026-05-05T00:12:28.582Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-additional-service  | 2026-05-05T00:12:28.640Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 58 ms
zil-additional-service  | 2026-05-05T00:12:32.968Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=1000
zil-additional-service  | 2026-05-05T00:12:33.060Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=1 sumNanos=48447 avgNanos=48447
zil-additional-service  | 2026-05-05T00:12:33.061Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=1 sumNanos=2891189540 avgNanos=2891189540
zil-additional-service  | 2026-05-05T00:12:33.061Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:33.062Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=1 sumNanos=600381007 avgNanos=600381007
zil-additional-service  | 2026-05-05T00:12:33.062Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=12 sumNanos=8781142750 avgNanos=731761895
zil-additional-service  | 2026-05-05T00:12:33.062Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=1 sumNanos=48447 avgNanos=48447
zil-additional-service  | 2026-05-05T00:12:33.062Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=1 sumNanos=2891189540 avgNanos=2891189540
zil-additional-service  | 2026-05-05T00:12:33.063Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=1 sumNanos=600381007 avgNanos=600381007
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=12 sumNanos=8781142750 avgNanos=731761895
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=1 sumNanos=48447 avgNanos=48447
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=1 sumNanos=2891189540 avgNanos=2891189540
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:33.066Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=1 sumNanos=600381007 avgNanos=600381007
zil-additional-service  | 2026-05-05T00:12:33.067Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=12 sumNanos=8781142750 avgNanos=731761895
zil-additional-service  | 2026-05-05T00:12:38.067Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=3 sumNanos=52841 avgNanos=17613
zil-additional-service  | 2026-05-05T00:12:38.068Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=3 sumNanos=6885408100 avgNanos=2295136033
zil-additional-service  | 2026-05-05T00:12:38.068Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:38.068Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=42 sumNanos=56603024429 avgNanos=1347691057
zil-additional-service  | 2026-05-05T00:12:38.068Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=55 sumNanos=50972808198 avgNanos=926778330
zil-additional-service  | 2026-05-05T00:12:38.069Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.availability_new count=39 sumNanos=90984382612 avgNanos=2332932887
zil-additional-service  | 2026-05-05T00:12:38.070Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.availability.allCitiesAllDates count=39 sumNanos=35291217 avgNanos=904903
zil-additional-service  | 2026-05-05T00:12:38.071Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=3 sumNanos=52841 avgNanos=17613
zil-additional-service  | 2026-05-05T00:12:38.071Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=3 sumNanos=6885408100 avgNanos=2295136033
zil-additional-service  | 2026-05-05T00:12:38.071Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:38.072Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=42 sumNanos=56603024429 avgNanos=1347691057
zil-additional-service  | 2026-05-05T00:12:38.072Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=55 sumNanos=50972808198 avgNanos=926778330
zil-additional-service  | 2026-05-05T00:12:38.072Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.availability_new count=39 sumNanos=90984382612 avgNanos=2332932887
zil-additional-service  | 2026-05-05T00:12:38.073Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.availability.allCitiesAllDates count=39 sumNanos=35291217 avgNanos=904903
zil-additional-service  | 2026-05-05T00:12:38.073Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=3 sumNanos=52841 avgNanos=17613
zil-additional-service  | 2026-05-05T00:12:38.074Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=3 sumNanos=6885408100 avgNanos=2295136033
zil-additional-service  | 2026-05-05T00:12:38.074Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:38.074Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=42 sumNanos=56603024429 avgNanos=1347691057
zil-additional-service  | 2026-05-05T00:12:38.075Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=55 sumNanos=50972808198 avgNanos=926778330
zil-additional-service  | 2026-05-05T00:12:38.075Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=39 sumNanos=90984382612 avgNanos=2332932887
zil-additional-service  | 2026-05-05T00:12:38.075Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=39 sumNanos=35291217 avgNanos=904903
zil-additional-service  | 2026-05-05T00:12:42.959Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=1000
zil-additional-service  | 2026-05-05T00:12:43.078Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=5 sumNanos=10734 avgNanos=2146
zil-additional-service  | 2026-05-05T00:12:43.079Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=5 sumNanos=9522189478 avgNanos=1904437895
zil-additional-service  | 2026-05-05T00:12:43.080Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=97 sumNanos=110288410692 avgNanos=1136993924
zil-additional-service  | 2026-05-05T00:12:43.080Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=95 sumNanos=85707467185 avgNanos=902183865
zil-additional-service  | 2026-05-05T00:12:43.081Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.availability_new count=92 sumNanos=188235009673 avgNanos=2046032713
zil-additional-service  | 2026-05-05T00:12:43.081Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.availability.allCitiesAllDates count=92 sumNanos=70190129 avgNanos=762936
zil-additional-service  | 2026-05-05T00:12:43.081Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=6 sumNanos=59181 avgNanos=9863
zil-additional-service  | 2026-05-05T00:12:43.081Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=6 sumNanos=12413379018 avgNanos=2068896503
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=98 sumNanos=110888791699 avgNanos=1131518282
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=107 sumNanos=94488609935 avgNanos=883071120
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.availability_new count=92 sumNanos=188235009673 avgNanos=2046032713
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.availability.allCitiesAllDates count=92 sumNanos=70190129 avgNanos=762936
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=6 sumNanos=59181 avgNanos=9863
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=6 sumNanos=12413379018 avgNanos=2068896503
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=1977000469 avgNanos=1977000469
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=98 sumNanos=110888791699 avgNanos=1131518282
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=107 sumNanos=94488609935 avgNanos=883071120
zil-additional-service  | 2026-05-05T00:12:43.082Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=92 sumNanos=188235009673 avgNanos=2046032713
zil-additional-service  | 2026-05-05T00:12:43.083Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=92 sumNanos=70190129 avgNanos=762936
zil-additional-service  | 2026-05-05T00:12:48.083Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=9 sumNanos=18381 avgNanos=2042
zil-additional-service  | 2026-05-05T00:12:48.084Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=9 sumNanos=14093812297 avgNanos=1565979144
