zil-app  | 
zil-app  | 2026-05-06T18:31:30.191Z  INFO 1 --- [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7 (PostgreSQL 16.13)
zil-app  | 2026-05-06T18:31:30.433Z  INFO 1 --- [           main] o.f.core.internal.command.DbValidate     : Successfully validated 3 migrations (execution time 00:00.105s)
zil-app  | 2026-05-06T18:31:30.547Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "hl7": 2
zil-app  | 2026-05-06T18:31:30.585Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Schema "hl7" is up to date. No migration necessary.
zil-app  | 2026-05-06T18:31:30.995Z  INFO 1 --- [           main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
zil-app  | 2026-05-06T18:31:31.217Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.4.Final
zil-app  | 2026-05-06T18:31:33.006Z  INFO 1 --- [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
zil-app  | 2026-05-06T18:31:33.331Z  INFO 1 --- [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
zil-app  | 	Database JDBC URL [jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7]
zil-app  | 	Database driver: PostgreSQL JDBC Driver
zil-app  | 	Database dialect: PostgreSQLDialect
zil-app  | 	Database version: 16.13
zil-app  | 	Default catalog/schema: hl7/hl7
zil-app  | 	Autocommit mode: undefined/unknown
zil-app  | 	Isolation level: READ_COMMITTED [default READ_COMMITTED]
zil-app  | 	JDBC fetch size: none
zil-app  | 	Pool: DataSourceConnectionProvider
zil-app  | 	Minimum pool size: undefined/unknown
zil-app  | 	Maximum pool size: undefined/unknown
zil-app  | 2026-05-06T18:31:36.397Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
zil-app  | 2026-05-06T18:31:36.527Z  INFO 1 --- [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
zil-app  | 2026-05-06T18:31:36.808Z  INFO 1 --- [           main] o.s.d.j.r.query.QueryEnhancerFactories   : Hibernate is in classpath; If applicable, HQL parser will be used.
zil-app  | 2026-05-06T18:31:40.611Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8083 (http) with context path '/'
zil-app  | 2026-05-06T18:31:40.633Z  INFO 1 --- [           main] rental.Application                       : Started Application in 20.341 seconds (process running for 22.11)
zil-app  | 2026-05-06T18:32:03.838Z  INFO 1 --- [nio-8083-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-app  | 2026-05-06T18:32:03.838Z  INFO 1 --- [nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-app  | 2026-05-06T18:32:03.840Z  INFO 1 --- [nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
zil-app  | 2026-05-06T18:32:05.633Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:05.634Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:05.682Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:05.682Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:05.682Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:05.683Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.RentController.getRents count=39 sumNanos=2108059700 avgNanos=54052812
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.rent.findAll count=39 sumNanos=2102208742 avgNanos=53902788
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:10.684Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.RentController.getRents count=39 sumNanos=2108059700 avgNanos=54052812
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.rent.findAll count=39 sumNanos=2102208742 avgNanos=53902788
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:10.685Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.RentController.getRents count=39 sumNanos=2108059700 avgNanos=54052812
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.rent.findAll count=39 sumNanos=2102208742 avgNanos=53902788
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:10.686Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:10.687Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:10.687Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:15.687Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:15.687Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.RentController.getRents count=105 sumNanos=4707099423 avgNanos=44829518
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.rent.findAll count=105 sumNanos=4700285048 avgNanos=44764619
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.RentController.getRents count=105 sumNanos=4707099423 avgNanos=44829518
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.rent.findAll count=105 sumNanos=4700285048 avgNanos=44764619
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:15.688Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.RentController.getRents count=105 sumNanos=4707099423 avgNanos=44829518
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.rent.findAll count=105 sumNanos=4700285048 avgNanos=44764619
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:15.689Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.RentController.getRents count=132 sumNanos=4992455396 avgNanos=37821631
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.rent.findAll count=132 sumNanos=4990979232 avgNanos=37810448
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.RentController.getRents count=172 sumNanos=7131581331 avgNanos=41462682
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.rent.findAll count=172 sumNanos=7124241637 avgNanos=41420009
zil-app  | 2026-05-06T18:32:20.690Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.RentController.getRents count=172 sumNanos=7131581331 avgNanos=41462682
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.rent.findAll count=172 sumNanos=7124241637 avgNanos=41420009
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:20.691Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=web.RentController.getRents count=132 sumNanos=4923251180 avgNanos=37297357
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=10s category=db.rent.findAll count=132 sumNanos=4922288740 avgNanos=37290066
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.RentController.getRents count=237 sumNanos=9630350603 avgNanos=40634390
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.rent.findAll count=237 sumNanos=9622573788 avgNanos=40601577
zil-app  | 2026-05-06T18:32:25.692Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=db.car.findAll count=1 sumNanos=110356988 avgNanos=110356988
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=30s category=web.StatsController.stats count=1 sumNanos=326605277 avgNanos=326605277
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.ClientController.getClients count=1 sumNanos=1568186603 avgNanos=1568186603
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countRents count=1 sumNanos=18691386 avgNanos=18691386
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.RentController.getRents count=237 sumNanos=9630350603 avgNanos=40634390
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.client.findAll count=1 sumNanos=1567909620 avgNanos=1567909620
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.rent.findAll count=237 sumNanos=9622573788 avgNanos=40601577
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countClients count=1 sumNanos=23015483 avgNanos=23015483
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=db.stats.countCars count=1 sumNanos=284016180 avgNanos=284016180
zil-app  | 2026-05-06T18:32:25.693Z  INFO 1 --- [   scheduling-1] r.observability.ObservabilityService     : LAB9 Observability window=1m category=web.CarController.getCars count=1 sumNanos=110972032 avgNanos=110972032
